time, math
-2.8216,-1.7
-2.8196,-1.66
-2.8176,-1.66
-2.8156,-1.66
-2.8136,-1.78
-2.8116,-1.5
-2.8096,-0.86
-2.8076,-0.82
-2.8056,-0.9
-2.8036,-0.82
-2.8016,-0.77984
-2.7996,-0.9
-2.7976,-0.9
-2.7956,-0.82
-2.7936,-0.85984
-2.7916,-0.86
-2.7896,-0.9
-2.7876,-1.54
-2.7856,-1.66
-2.7836,-1.62
-2.7816,-1.62
-2.7796,-1.66
-2.7776,-1.7
-2.7756,-1.62
-2.7736,-1.7
-2.7716,-1.66
-2.7696,-1.58
-2.7676,-1.74
-2.7656,-1.14
-2.7636,-0.82
-2.7616,-0.77984
-2.7596,-0.85984
-2.7576,-0.82
-2.7556,-0.82
-2.7536,-0.82
-2.7516,-0.82
-2.7496,-0.86
-2.7476,-0.82
-2.7456,-0.86
-2.7436,-0.94
-2.7416,-0.94
-2.7396,-0.86
-2.7376,-1.58
-2.7356,-1.5
-2.7336,-1.62
-2.7316,-1.7
-2.7296,-1.62
-2.7276,-1.66
-2.7256,-1.58
-2.7236,-1.7
-2.7216,-1.7
-2.7196,-0.9
-2.7176,-0.82
-2.7156,-0.94
-2.7136,-0.86
-2.7116,-0.82
-2.7096,-0.97984
-2.7076,-0.82
-2.7056,-0.78
-2.7036,-0.9
-2.7016,-0.9
-2.6996,-0.77984
-2.6976,-0.86
-2.6956,-0.82
-2.6936,-0.85984
-2.6916,-0.86
-2.6896,-0.86
-2.6876,-0.89984
-2.6856,-1.1
-2.6836,-1.42
-2.6816,-1.66
-2.6796,-1.62
-2.6776,-1.66
-2.6756,-1.06
-2.6736,-0.9
-2.6716,-0.85984
-2.6696,-0.9
-2.6676,-0.82
-2.6656,-0.85984
-2.6636,-0.94
-2.6616,-0.85984
-2.6596,-0.9
-2.6576,-0.77984
-2.6556,-0.82
-2.6536,-0.86
-2.6516,-0.86
-2.6496,-0.86
-2.6476,-0.9
-2.6456,-0.82
-2.6436,-0.82
-2.6416,-0.86
-2.6396,-0.82
-2.6376,-0.82
-2.6356,-0.82
-2.6336,-1.3
-2.6315,-1.18
-2.6295,-1.18
-2.6275,-0.85984
-2.6255,-0.89984
-2.6235,-0.85984
-2.6215,-0.98
-2.6195,-0.9
-2.6175,-0.86
-2.6155,-0.86
-2.6135,-0.86
-2.6115,-0.89984
-2.6095,-0.9
-2.6075,-0.85984
-2.6055,-0.85984
-2.6035,-0.86
-2.6015,-0.78
-2.5995,-0.9
-2.5975,-0.82
-2.5955,-0.86
-2.5935,-0.89984
-2.5915,-0.86
-2.5895,-0.86
-2.5875,-0.82
-2.5855,-0.94
-2.5835,-0.82
-2.5815,-0.099844
-2.5795,-0.099844
-2.5775,-0.29984
-2.5755,-0.82
-2.5735,-0.85984
-2.5715,-0.94
-2.5695,-0.94
-2.5675,-0.77984
-2.5655,-0.77984
-2.5635,-0.89984
-2.5615,-0.85984
-2.5595,-0.94
-2.5575,-0.9
-2.5555,-0.86
-2.5535,-0.85984
-2.5515,-0.82
-2.5495,-0.86
-2.5475,-0.85984
-2.5455,-0.82
-2.5435,-0.85984
-2.5415,-0.82
-2.5395,-0.85984
-2.5375,-0.019844
-2.5355,-0.099844
-2.5335,0.02
-2.5315,-0.099844
