time, ch1, ch2, ch3, ch4
-4.9793,1.82,1.46,1,4.82
-4.9792,1.9,1.46,1.04,4.82
-4.9791,1.9,1.46,1,4.82
-4.979,1.9,1.5,1,4.82
-4.9789,1.9,1.5,0.96,4.78
-4.9788,1.86,1.5,1,4.82
-4.9787,1.94,1.46,0.96,4.78
-4.9786,1.86,1.5,0.96,4.74
-4.9785,1.9,1.5,1,4.74
-4.9784,1.9,1.46,1,4.82
-4.9783,1.94,1.5,0.96,4.82
-4.9782,1.86,1.5,1,4.82
-4.9781,1.86,1.46,1,4.82
-4.978,1.9,1.46,1.04,4.82
-4.9779,1.82,1.46,1.04,4.82
-4.9778,1.82,1.42,1,4.82
-4.9777,1.9,1.5,1,4.82
-4.9776,1.86,1.42,0.96,4.74
-4.9775,1.78,1.5,1.08,4.78
-4.9774,1.86,1.46,0.92,4.78
-4.9773,1.94,1.5,1,4.86
-4.9772,1.94,1.5,0.92,4.86
-4.9771,1.9,1.46,0.92,4.82
-4.977,1.9,1.5,1.04,4.74
-4.9769,1.86,1.46,1.04,4.74
-4.9768,1.82,1.5,0.96,4.82
-4.9767,1.9,1.5,1.04,4.78
-4.9766,1.82,1.5,1.04,4.86
-4.9765,1.82,1.46,1.04,4.82
-4.9764,1.86,1.46,1,4.82
-4.9763,1.86,1.5,1,4.78
-4.9762,1.82,1.46,1.04,4.78
-4.9761,1.74,1.46,1.04,4.82
-4.976,1.86,1.5,0.96,4.78
-4.9759,1.82,1.46,1,4.78
-4.9758,1.94,1.5,0.92,4.82
-4.9757,1.82,1.5,1.04,4.78
-4.9756,1.82,1.46,0.96,4.82
-4.9755,1.86,1.5,1,4.82
-4.9754,1.86,1.5,1.04,4.78
-4.9753,1.82,1.5,0.96,4.78
-4.9752,1.82,1.46,1,4.86
-4.9751,1.86,1.46,1,4.82
-4.975,1.86,1.46,1.04,4.82
-4.9749,1.86,1.5,0.96,4.78
-4.9748,1.86,1.5,1.04,4.82
-4.9747,1.86,1.46,1.04,4.78
-4.9746,1.82,1.46,1.04,4.74
-4.9745,1.86,1.46,0.96,4.82
-4.9744,1.86,1.54,1.04,4.74
-4.9743,1.86,1.42,0.96,4.82
-4.9742,1.86,1.5,1,4.78
-4.9741,1.82,1.5,1,4.82
-4.974,1.86,1.46,0.96,4.78
-4.9739,1.86,1.5,1.04,4.82
-4.9738,1.86,1.46,1,4.78
-4.9737,1.86,1.46,1.04,4.82
-4.9736,1.86,1.54,1,4.82
-4.9735,1.82,1.5,1,4.82
-4.9734,1.86,1.42,0.96,4.86
-4.9733,1.82,1.5,1.04,4.86
-4.9732,1.82,1.5,1,4.7
-4.9731,1.9,1.54,1,4.74
-4.973,1.9,1.46,1.04,4.82
-4.9729,1.9,1.46,0.96,4.78
-4.9728,1.86,1.54,1,4.74
-4.9727,1.86,1.5,1,4.82
-4.9726,1.86,1.5,1.04,4.82
-4.9725,1.82,1.5,1.04,4.82
-4.9724,1.82,1.5,1,4.82
-4.9723,1.82,1.5,1,4.74
-4.9722,1.86,1.46,1.04,4.82
-4.9721,1.82,1.46,1,4.74
-4.972,1.9,1.42,1.04,4.82
-4.9719,1.86,1.5,1.04,4.82
-4.9718,1.82,1.46,1,4.78
-4.9717,1.86,1.5,1,4.78
-4.9716,1.86,1.46,1,4.82
-4.9715,1.9,1.46,1,4.78
-4.9714,1.9,1.54,0.92,4.78
-4.9713,1.86,1.54,0.96,4.78
-4.9712,1.86,1.5,1.04,4.78
-4.9711,1.86,1.5,1.04,4.82
-4.971,1.86,1.5,1,4.78
-4.9709,1.82,1.5,1.04,4.78
-4.9708,1.86,1.5,1,4.74
-4.9707,1.86,1.5,0.92,4.82
-4.9706,1.86,1.5,1,4.78
-4.9705,1.86,1.5,1.04,4.78
-4.9704,1.86,1.5,1.04,4.78
-4.9703,1.86,1.46,1.04,4.82
-4.9702,1.86,1.5,1,4.78
-4.9701,1.86,1.46,1.04,4.82
-4.97,1.82,1.5,1,4.82
-4.9699,1.86,1.46,1.04,4.78
-4.9698,1.94,1.5,0.96,4.78
-4.9697,1.86,1.5,1,4.82
-4.9696,1.86,1.42,0.96,4.78
-4.9695,1.86,1.54,1.04,4.78
-4.9694,1.86,1.5,1,4.86
-4.9693,1.9,1.5,0.96,4.82
-4.9692,1.9,1.5,1,4.78
-4.9691,1.82,1.46,0.96,4.82
-4.969,1.9,1.5,1,4.78
-4.9689,1.9,1.5,1,4.78
-4.9688,1.9,1.5,0.96,4.78
-4.9687,1.9,1.5,1.04,4.82
-4.9686,1.9,1.5,0.96,4.78
-4.9685,1.86,1.5,1,4.78
-4.9684,1.9,1.5,1,4.74
-4.9683,1.9,1.5,1.04,4.82
-4.9682,1.9,1.5,1,4.82
-4.9681,1.86,1.5,0.96,4.82
-4.968,1.9,1.54,1.04,4.82
-4.9679,1.86,1.5,1,4.82
-4.9678,1.9,1.5,0.96,4.78
-4.9677,1.86,1.5,1,4.78
-4.9676,1.86,1.46,1,4.82
-4.9675,1.86,1.54,1.04,4.74
-4.9674,1.86,1.54,1.04,4.82
-4.9673,1.86,1.46,0.96,4.78
-4.9672,1.82,1.46,1.04,4.82
-4.9671,1.86,1.5,1.08,4.78
-4.967,1.78,1.5,1,4.78
-4.9669,1.86,1.5,1.04,4.78
-4.9668,1.9,1.5,1,4.78
-4.9667,1.9,1.54,1.04,4.78
-4.9666,1.9,1.46,0.96,4.86
-4.9665,1.86,1.46,1,4.82
-4.9664,1.9,1.5,1,4.78
-4.9663,1.9,1.46,1,4.74
-4.9662,1.94,1.58,0.96,4.82
-4.9661,1.94,1.5,0.96,4.78
-4.966,1.9,1.5,0.96,4.78
-4.9659,1.94,1.5,1,4.82
-4.9658,1.94,1.46,1,4.7
-4.9657,1.9,1.5,0.96,4.86
-4.9656,1.86,1.46,1.04,4.74
-4.9655,1.86,1.54,1.04,4.86
-4.9654,1.82,1.46,1,4.78
-4.9653,1.78,1.46,1.04,4.78
-4.9652,1.94,1.46,0.96,4.78
-4.9651,1.94,1.5,1.04,4.74
-4.965,1.9,1.5,1.04,4.82
-4.9649,1.9,1.5,1,4.74
-4.9648,1.98,1.5,1,4.82
-4.9647,1.9,1.54,0.96,4.82
-4.9646,1.86,1.5,0.96,4.78
-4.9645,1.82,1.46,1,4.82
-4.9644,1.86,1.54,1,4.74
-4.9643,1.82,1.54,0.96,4.82
-4.9642,1.78,1.5,1.04,4.78
-4.9641,1.86,1.54,1,4.78
-4.964,1.82,1.5,1,4.82
-4.9639,1.82,1.5,1,4.78
-4.9638,1.86,1.54,1.04,4.82
-4.9637,1.82,1.5,1.04,4.78
-4.9636,1.86,1.5,1,4.78
-4.9635,1.82,1.5,1,4.78
-4.9634,1.86,1.5,1.08,4.82
-4.9633,1.86,1.5,1,4.82
-4.9632,1.9,1.5,0.92,4.82
-4.9631,1.86,1.5,1.04,4.78
-4.963,1.94,1.5,1,4.82
-4.9629,1.86,1.5,1,4.82
-4.9628,1.86,1.54,1.04,4.74
-4.9627,1.82,1.5,1,4.82
-4.9626,1.9,1.5,1,4.82
-4.9625,1.86,1.54,1.04,4.7
-4.9624,1.82,1.46,1.04,4.74
-4.9623,1.9,1.5,1,4.78
-4.9622,1.82,1.54,1,4.78
-4.9621,1.86,1.5,1,4.82
-4.962,1.9,1.5,1,4.78
-4.9619,1.82,1.5,0.96,4.82
-4.9618,1.86,1.5,1,4.82
-4.9617,1.9,1.54,1,4.78
-4.9616,1.86,1.5,1.04,4.82
-4.9615,1.86,1.5,1,4.82
-4.9614,1.9,1.5,1,4.74
-4.9613,1.9,1.5,1.04,4.82
-4.9612,1.9,1.54,1.04,4.82
-4.9611,1.9,1.5,1,4.82
-4.961,1.98,1.5,1,4.82
-4.9609,1.82,1.46,1,4.78
-4.9608,1.9,1.5,1.04,4.74
-4.9607,1.86,1.5,1.04,4.78
-4.9606,1.86,1.5,0.96,4.82
-4.9605,1.82,1.5,1.04,4.82
-4.9604,1.9,1.58,1,4.78
-4.9603,1.9,1.5,1,4.74
-4.9602,1.94,1.5,1.08,4.74
-4.9601,1.82,1.54,1.04,4.82
-4.96,1.86,1.54,1,4.82
-4.9599,1.9,1.5,0.96,4.78
-4.9598,1.82,1.54,0.96,4.82
-4.9597,1.9,1.5,1.04,4.78
-4.9596,1.86,1.5,1,4.74
-4.9595,1.86,1.5,1,4.78
-4.9594,1.86,1.46,1,4.74
-4.9593,1.86,1.5,1.04,4.78
-4.9592,1.9,1.5,1,4.78
-4.9591,1.86,1.5,1,4.78
-4.959,1.9,1.54,0.96,4.74
-4.9589,1.86,1.54,0.96,4.86
-4.9588,1.86,1.54,1.04,4.78
-4.9587,1.9,1.54,1,4.86
-4.9586,1.86,1.54,1,4.82
-4.9585,1.9,1.54,1.04,4.78
-4.9584,1.86,1.54,0.96,4.74
-4.9583,1.86,1.5,1.04,4.78
-4.9582,1.86,1.54,1.04,4.82
-4.9581,1.9,1.5,1.04,4.74
-4.958,1.82,1.54,1,4.82
-4.9579,1.86,1.54,1,4.78
-4.9578,1.82,1.54,1.04,4.78
-4.9577,1.82,1.5,0.96,4.78
-4.9576,1.82,1.5,1.04,4.82
-4.9575,1.9,1.5,1,4.78
-4.9574,1.86,1.5,1,4.78
-4.9573,1.86,1.5,1,4.82
-4.9572,1.86,1.5,1.04,4.78
-4.9571,1.86,1.54,1,4.74
-4.957,1.9,1.5,0.96,4.78
-4.9569,1.86,1.54,0.96,4.78
-4.9568,1.86,1.54,1.04,4.86
-4.9567,1.9,1.54,1,4.78
-4.9566,1.86,1.54,1.04,4.82
-4.9565,1.86,1.5,0.96,4.78
-4.9564,1.86,1.54,1,4.78
-4.9563,1.9,1.5,1,4.82
-4.9562,1.82,1.54,1.04,4.82
-4.9561,1.9,1.5,0.96,4.82
-4.956,1.86,1.54,1.04,4.86
-4.9559,1.9,1.54,0.96,4.78
-4.9558,1.86,1.5,1,4.82
-4.9557,1.94,1.54,1.04,4.78
-4.9556,1.82,1.5,1.04,4.82
-4.9555,1.86,1.58,1.04,4.82
-4.9554,1.86,1.54,1,4.86
-4.9553,1.94,1.54,0.96,4.82
-4.9552,1.9,1.5,1.04,4.78
-4.9551,1.86,1.5,1,4.82
-4.955,1.9,1.54,1,4.78
-4.9549,1.86,1.46,1,4.74
-4.9548,1.86,1.5,1,4.82
-4.9547,1.82,1.5,1.04,4.82
-4.9546,1.86,1.5,1,4.82
-4.9545,1.86,1.5,1.04,4.78
-4.9544,1.78,1.54,0.96,4.74
-4.9543,1.9,1.5,1.04,4.82
-4.9542,1.9,1.5,1.04,4.82
-4.9541,1.9,1.5,1,4.78
-4.954,1.9,1.5,1,4.82
-4.9539,1.9,1.5,1,4.82
-4.9538,1.94,1.54,0.92,4.78
-4.9537,1.86,1.5,1,4.82
-4.9536,1.9,1.5,0.92,4.78
-4.9535,1.94,1.58,0.96,4.74
-4.9534,1.94,1.54,0.96,4.78
-4.9533,1.94,1.46,0.96,4.78
-4.9532,1.9,1.5,1,4.82
-4.9531,1.86,1.5,1,4.82
-4.953,1.86,1.5,1,4.78
-4.9529,1.9,1.5,1,4.78
-4.9528,1.9,1.54,1.04,4.78
-4.9527,1.82,1.5,1,4.82
-4.9526,1.86,1.58,0.96,4.82
-4.9525,1.86,1.5,1.04,4.78
-4.9524,1.86,1.5,1.04,4.86
-4.9523,1.98,1.54,0.96,4.86
-4.9522,1.94,1.5,1,4.86
-4.9521,1.9,1.5,0.96,4.82
-4.952,1.94,1.54,1,4.78
-4.9519,1.9,1.5,1.04,4.78
-4.9518,1.86,1.5,1,4.86
-4.9517,1.86,1.5,1,4.82
-4.9516,1.9,1.54,1.04,4.82
-4.9515,1.9,1.54,1.04,4.86
-4.9514,1.86,1.54,1,4.82
-4.9513,1.82,1.5,1.04,4.78
-4.9512,1.82,1.54,1,4.78
-4.9511,1.82,1.5,1.04,4.82
-4.951,1.82,1.54,1,4.74
-4.9509,1.82,1.54,1.04,4.78
-4.9508,1.86,1.5,1,4.86
-4.9507,1.94,1.5,1.04,4.78
-4.9506,1.9,1.5,1,4.78
-4.9505,1.86,1.46,1.04,4.82
-4.9504,1.9,1.5,1.04,4.78
-4.9503,1.86,1.5,1,4.78
-4.9502,1.86,1.54,1.04,4.82
-4.9501,1.86,1.5,1,4.82
-4.95,1.94,1.5,1,4.74
-4.9499,1.9,1.54,1,4.82
-4.9498,1.86,1.58,1.04,4.82
-4.9497,1.9,1.5,1,4.74
-4.9496,1.82,1.5,1.04,4.78
-4.9495,1.86,1.54,1.04,4.7
-4.9494,1.86,1.5,1,4.82
-4.9493,1.86,1.54,1,4.78
-4.9492,1.9,1.54,1,4.78
-4.9491,1.9,1.5,0.96,4.74
-4.949,1.86,1.54,1,4.78
-4.9489,1.86,1.54,1,4.82
-4.9488,1.86,1.54,0.96,4.82
-4.9487,1.9,1.54,1,4.78
-4.9486,1.86,1.54,1,4.78
-4.9485,1.86,1.54,1,4.74
-4.9484,1.86,1.54,1.04,4.82
-4.9483,1.86,1.5,1,4.82
-4.9482,1.86,1.58,1.04,4.78
-4.9481,1.86,1.5,1.04,4.82
-4.948,1.86,1.5,1.04,4.86
-4.9479,1.86,1.5,1,4.78
-4.9478,1.86,1.5,0.96,4.82
-4.9477,1.86,1.58,1,4.74
-4.9476,1.86,1.54,1.04,4.82
-4.9475,1.86,1.5,1,4.78
-4.9474,1.9,1.54,0.96,4.78
-4.9473,1.86,1.5,1.04,4.82
-4.9472,1.86,1.54,1.04,4.78
-4.9471,1.86,1.54,1,4.78
-4.947,1.9,1.58,1.04,4.82
-4.9469,1.86,1.54,1,4.82
-4.9468,1.86,1.58,1.04,4.74
-4.9467,1.86,1.54,1,4.78
-4.9466,1.86,1.58,1.04,4.82
-4.9465,1.86,1.5,1,4.82
-4.9464,1.86,1.54,1,4.78
-4.9463,1.86,1.54,1,4.78
-4.9462,1.9,1.5,1.04,4.78
-4.9461,1.86,1.54,1,4.82
-4.946,1.9,1.54,1,4.78
-4.9459,1.9,1.54,0.96,4.78
-4.9458,1.86,1.5,1,4.82
-4.9457,1.86,1.54,1.08,4.82
-4.9456,1.86,1.62,1.04,4.78
-4.9455,1.82,1.54,1,4.82
-4.9454,1.86,1.54,1,4.74
-4.9453,1.82,1.5,1.04,4.82
-4.9452,1.86,1.54,1,4.74
-4.9451,1.9,1.54,1.04,4.82
-4.945,1.9,1.5,1,4.78
-4.9449,1.86,1.58,1,4.78
-4.9448,1.9,1.58,1,4.86
-4.9447,1.9,1.54,0.96,4.82
-4.9446,1.9,1.5,1,4.78
-4.9445,1.9,1.54,0.96,4.78
-4.9444,1.9,1.58,1,4.86
-4.9443,1.9,1.58,1.04,4.82
-4.9442,1.9,1.58,0.96,4.74
-4.9441,1.94,1.54,1.04,4.78
-4.944,1.94,1.58,1,4.78
-4.9439,1.86,1.54,0.96,4.78
-4.9438,1.9,1.54,1,4.78
-4.9437,1.9,1.54,1,4.78
-4.9436,1.9,1.54,1,4.78
-4.9435,1.94,1.58,1,4.86
-4.9434,1.86,1.5,0.96,4.78
-4.9433,1.86,1.54,1,4.82
-4.9432,1.86,1.58,1.04,4.78
-4.9431,1.86,1.5,1,4.82
-4.943,1.86,1.58,1,4.78
-4.9429,1.86,1.54,0.96,4.74
-4.9428,1.9,1.54,1,4.82
-4.9427,1.9,1.54,0.96,4.82
-4.9426,1.94,1.54,1,4.86
-4.9425,1.86,1.5,1,4.82
-4.9424,1.86,1.54,1,4.78
-4.9423,1.9,1.5,1.04,4.78
-4.9422,1.82,1.58,1.04,4.82
-4.9421,1.78,1.54,1,4.7
-4.942,1.78,1.54,1.04,4.82
-4.9419,1.78,1.54,1.08,4.82
-4.9418,1.86,1.58,0.96,4.82
-4.9417,1.9,1.54,1.04,4.74
-4.9416,1.86,1.5,1,4.82
-4.9415,1.94,1.58,0.96,4.78
-4.9414,1.9,1.54,1.04,4.78
-4.9413,1.98,1.54,1,4.74
-4.9412,1.9,1.54,1,4.78
-4.9411,1.94,1.54,0.92,4.78
-4.941,1.94,1.54,0.96,4.78
-4.9409,1.94,1.58,0.96,4.74
-4.9408,1.9,1.62,1.04,4.78
-4.9407,1.94,1.54,0.96,4.86
-4.9406,1.94,1.5,1,4.78
-4.9405,1.94,1.58,1.04,4.78
-4.9404,1.9,1.5,1,4.78
-4.9403,1.9,1.5,1.04,4.78
-4.9402,1.86,1.58,1,4.78
-4.9401,1.86,1.54,1,4.82
-4.94,1.9,1.58,1,4.78
-4.9399,1.86,1.58,1,4.78
-4.9398,1.9,1.54,0.88,4.74
-4.9397,1.9,1.54,1,4.78
-4.9396,1.94,1.58,1,4.82
-4.9395,1.94,1.54,0.92,4.78
-4.9394,1.86,1.58,1.04,4.82
-4.9393,1.86,1.58,0.92,4.74
-4.9392,1.86,1.62,1,4.78
-4.9391,1.9,1.54,0.96,4.78
-4.939,1.86,1.5,1.04,4.82
-4.9389,1.9,1.54,1.04,4.82
