xdata, curve0
0.00487,-209.39
0.00488,-210.53
0.00489,-211.65
0.0049,-212.78
0.00491,-213.9
0.00492,-215.02
0.00493,-216.13
0.00494,-217.24
0.00495,-218.35
0.00496,-219.45
0.00497,-220.55
0.00498,-221.64
0.00499,-222.73
0.005,-223.81
0.00501,-224.89
0.00502,-225.97
0.00503,-227.04
0.00504,-228.11
0.00505,-229.17
0.00506,-230.22
0.00507,-231.28
0.00508,-232.32
0.00509,-233.36
0.0051,-234.4
0.00511,-235.43
0.00512,-236.46
0.00513,-237.48
0.00514,-238.49
0.00515,-239.5
0.00516,-240.5
0.00517,-241.5
0.00518,-242.49
0.00519,-243.48
0.0052,-244.46
0.00521,-245.43
0.00522,-246.4
0.00523,-247.36
0.00524,-248.32
0.00525,-249.27
0.00526,-250.21
0.00527,-251.15
0.00528,-252.08
0.00529,-253.01
0.0053,-253.92
0.00531,-254.84
0.00532,-255.74
0.00533,-256.64
0.00534,-257.53
0.00535,-258.42
0.00536,-259.29
0.00537,-260.17
0.00538,-261.03
0.00539,-261.89
0.0054,-262.74
0.00541,-263.58
0.00542,-264.42
0.00543,-265.25
0.00544,-266.07
0.00545,-266.89
0.00546,-267.7
0.00547,-268.5
0.00548,-269.29
0.00549,-270.08
0.0055,-270.86
0.00551,-271.63
0.00552,-272.4
0.00553,-273.16
0.00554,-273.91
0.00555,-274.66
0.00556,-275.39
0.00557,-276.12
0.00558,-276.84
0.00559,-277.56
0.0056,-278.27
0.00561,-278.97
0.00562,-279.66
0.00563,-280.35
0.00564,-281.02
0.00565,-281.7
0.00566,-282.36
0.00567,-283.02
0.00568,-283.66
0.00569,-284.31
0.0057,-284.94
0.00571,-285.57
0.00572,-286.19
0.00573,-286.8
0.00574,-287.41
0.00575,-288
0.00576,-288.59
0.00577,-289.18
0.00578,-289.75
0.00579,-290.32
0.0058,-290.89
0.00581,-291.44
0.00582,-291.99
0.00583,-292.53
0.00584,-293.06
0.00585,-293.59
0.00586,-294.11
0.00587,-294.62
0.00588,-295.13
0.00589,-295.63
0.0059,-296.12
0.00591,-296.6
0.00592,-297.08
0.00593,-297.55
0.00594,-298.01
0.00595,-298.47
0.00596,-298.92
0.00597,-299.37
0.00598,-299.8
0.00599,-300.24
0.006,-300.66
0.00601,-301.08
0.00602,-301.49
0.00603,-301.89
0.00604,-302.29
0.00605,-302.68
0.00606,-303.07
0.00607,-303.45
0.00608,-303.82
0.00609,-304.19
0.0061,-304.55
0.00611,-304.91
0.00612,-305.25
0.00613,-305.6
0.00614,-305.93
0.00615,-306.27
0.00616,-306.59
0.00617,-306.91
0.00618,-307.22
0.00619,-307.53
0.0062,-307.83
0.00621,-308.13
0.00622,-308.42
0.00623,-308.71
0.00624,-308.99
0.00625,-309.26
0.00626,-309.53
0.00627,-309.8
0.00628,-310.05
0.00629,-310.31
0.0063,-310.56
0.00631,-310.8
0.00632,-311.04
0.00633,-311.27
0.00634,-311.5
0.00635,-311.72
0.00636,-311.94
0.00637,-312.16
0.00638,-312.37
0.00639,-312.57
0.0064,-312.77
0.00641,-312.97
0.00642,-313.16
0.00643,-313.35
0.00644,-313.53
0.00645,-313.71
0.00646,-313.88
0.00647,-314.05
0.00648,-314.21
0.00649,-314.38
0.0065,-314.53
0.00651,-314.69
0.00652,-314.83
0.00653,-314.98
0.00654,-315.12
0.00655,-315.26
0.00656,-315.39
0.00657,-315.52
0.00658,-315.65
0.00659,-315.77
0.0066,-315.89
0.00661,-316
0.00662,-316.11
0.00663,-316.22
0.00664,-316.33
0.00665,-316.43
0.00666,-316.52
0.00667,-316.62
0.00668,-316.71
0.00669,-316.8
0.0067,-316.88
0.00671,-316.96
0.00672,-317.04
0.00673,-317.11
0.00674,-317.19
0.00675,-317.25
0.00676,-317.32
0.00677,-317.38
0.00678,-317.44
0.00679,-317.5
0.0068,-317.55
0.00681,-317.6
0.00682,-317.65
0.00683,-317.69
0.00684,-317.73
0.00685,-317.77
0.00686,-317.81
0.00687,-317.84
0.00688,-317.87
0.00689,-317.9
0.0069,-317.93
0.00691,-317.95
0.00692,-317.97
0.00693,-317.99
0.00694,-318
0.00695,-318.01
0.00696,-318.02
0.00697,-318.03
0.00698,-318.03
0.00699,-318.03
0.007,-318.03
0.00701,-318.03
0.00702,-318.02
0.00703,-318.01
0.00704,-318
0.00705,-317.98
